#ZVView-data-copy:  23-Feb-2020 09:03:47
#=======================================
#
#name:   30-ZN-64(N,P)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  320
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.93            0        0.153        0.052  # 1982,M.Viennot+          ## 30644018  #dY:34.0%  
         13.93         0.12        0.221        0.009  # 1991,M.Viennot+          ## 30978030  #dY:4.1%   
         13.97            0       0.1496       0.0097  # 1993,C.Konno+            ## 22637007  #dY:6.5%   
        13.984        0.052       0.1731    0.0061797  # 2007,W.Mannhart+         ## 22976028  #dY:3.6%   
            14            0         0.22        0.015  # 1962,F.Gabbard+          ## 11494011  #dY:6.8%   
            14            0          0.2            0  # 1960,A.H.Armstrong+      ## 11802003             
            14          0.1        0.207        0.014  # 1963,M.Bormann+          ## 21343009  #dY:6.8%   
            14            0         0.21         0.04  # 1964,V.N.Levkovskii      ## 40016019  #dY:19.0%  
         14.05          0.8       0.1728       0.0127  # 1990,I.Kimura+           ## 22093016  #dY:7.3%   
          14.1            0        0.143        0.013  # 1975,R.Spangler+         ## 12956003  #dY:9.1%   
          14.1            0        0.133        0.012  # 1976,J.L.Casanova+       ## 20748002  #dY:9.0%   
          14.1         0.14       0.1917       0.0124  # 1969,M.Bormann+          ## 20835006  #dY:6.5%   
          14.1            0       0.2246        0.019  # 1994,N.I.Molla+          ## 31449011  #dY:8.5%   
         14.11            0        0.153        0.052  # 1982,M.Viennot+          ## 30644018  #dY:34.0%  
         14.11         0.13        0.209        0.009  # 1991,M.Viennot+          ## 30978030  #dY:4.3%   
         14.11         0.05        0.191      0.01528  # 1962,E.Weigold+          ## 31110005  #dY:8.0%   
          14.2          0.1         0.18         0.01  # 1995,S.K.Ghorai+         ## 13597002  #dY:5.6%   
         14.21            0       0.1438       0.0093  # 1993,C.Konno+            ## 22637007  #dY:6.5%   
         14.24         0.04         0.18        0.011  # 1972,D.C.Santry+         ## 10224005  #dY:6.1%   
